query,rank,source_url,tag,text
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,h2,Contents
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,h1,Ulvik
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,p,"Ulvikis amunicipalityinVestlandcounty,Norway. The municipality stretches from theHardangerfjordto the mountains that reach 1,800 metres (5,900 ft) above sea level. Theadministrative centreof the municipality is the village ofUlvik. The villages ofOsaandFinseare also located in Ulvik municipality."
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,p,"The 722-square-kilometre (279 sq mi) municipality is the 158th largest by area out of the 356 municipalities in Norway. Ulvik is the 329th most populous municipality in Norway with a population of 1,056. The municipality'spopulation densityis 1.6 inhabitants per square kilometre (4.1/sq mi) and its population has decreased by 5.1% over the previous 10-year period.[4][5]Of the municipality's total population, nearly half live in the village ofUlvikat the end of theUlvikafjorden. The vast majority of those who do not live in the village of Ulvik live on the farms surrounding the village or at the end of theOsa Fjordin the village of Osa."
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,p,"In 2016, the chief of police forVestlandetformally suggested a reconfiguration of police districts and stations. He proposed that the police station in Ulvik be closed.[6]"
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,h2,General information
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,p,"TheparishofGraven(later spelled ""Granvin"") was established as a municipality on 1 January 1838 (seeformannskapsdistriktlaw). This large municipality/parish included two annexes: Ulvik andEidfjord. On 1 January 1859, Ulvik became the main parish, making Graven and Eidfjord annexes to Ulvik, and the name of the large municipality was changed from Graven to Ulvik.[7]"
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,p,"On 1 May 1891, the western annex ofGraven(population: 1,331) and the southeastern annex ofEidfjord(population: 1,018) were separated from Ulvik to become separate municipalities. This left Ulvik with a much smaller size and 1,410 residents. In 1895, a small area of Eidfjord (population: 3) was transferred to Ulvik.[7]"
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,h3,Name
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,p,"The municipality (originally theparish) is named after the oldUlvikfarm (Old Norse:Ulfvík) since the firstUlvik Churchwas built there. The first element isulfrwhich means ""wolf"". The last element isvíkwhich means ""bay"", ""cove, or ""wick"".[8][9]"
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,h3,Coat of arms
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,p,"Thecoat of armswas granted on 19 December 1986. The officialblazonis""Gules, eightlozengesinannuletOr""(Norwegian:På raud grunn åtte gule spissruter i rosett). This means the arms have a redfield(background) and thechargeis a set of eightlozengesarranged around a point, making a symmetricalrosettedesign. The charge has atinctureofOrwhich means it is commonly colored yellow, but if it is made out of metal, then gold is used. The figure is a traditional design seen in the local folk-art and in localtextiles(including in thebunadof Ulvik). The pattern can be traced in local arts as far back as the 16th century, and is similar to theselburose. The arms were designed by Stein Davidsen. The municipal flag has the same design as the coat of arms.[10][11][12]"
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,h3,Churches
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,p,TheChurch of Norwayhas one parish (sokn) within the municipality of Ulvik. It is part of theHardanger og Voss prosti(deanery) in theDiocese of Bjørgvin.
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,h2,Geography
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,p,"The municipality is situated around the Hardangerfjord's northeastern arms: theOsa FjordandUlvikafjorden, extending far into theHardangerviddaplateau. The northernmost part of theHardangerjøkulenglacier is in Ulvik. TheFinseandHallingskeidareas lie just south of theHallingskarvet National Parkwhich partially sits inside Ulvik and includes theHallingskarvetmountains. The municipality of Ulvik borders the municipalities ofEidfjord,Ullensvang,Voss,Aurland, andHol. Lakes in the region includeFinsevatnetandFlakavatnet. The headwaters of theFlåmselviriver also lie in Ulvik."
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,h2,History
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,p,"After the dissolution of theunion between Sweden and Norwayin 1905, Ulvik was one of the few municipalities that returned a majority in favour of arepublicrather than amonarchyin thenational referendum on the issue."
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,p,"The village ofUlvikwas nearly totally destroyed on 25 April 1940, during theGerman invasion of Norway, when fighting erupted between a German landing party arriving in boats, and a Norwegian force on land. Most of the village was burned down, and three civilians were killed. An unknown number of German soldiers were also killed in the fighting."
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,h2,Population
Ulvik Norway,2,https://en.wikipedia.org/wiki/Ulvik,h2,Government
