tag,text
h2,Contents
h1,Ulvik
p,"Ulvikis amunicipalityinVestlandcounty,Norway. The municipality stretches from theHardangerfjordto the mountains that reach 1,800 metres (5,900 ft) above sea level. Theadministrative centreof the municipality is the village ofUlvik. The villages ofOsaandFinseare also located in Ulvik municipality."
p,"The 722-square-kilometre (279 sq mi) municipality is the 158th largest by area out of the 356 municipalities in Norway. Ulvik is the 329th most populous municipality in Norway with a population of 1,056. The municipality'spopulation densityis 1.6 inhabitants per square kilometre (4.1/sq mi) and its population has decreased by 5.1% over the previous 10-year period.[4][5]Of the municipality's total population, nearly half live in the village ofUlvikat the end of theUlvikafjorden. The vast majority of those who do not live in the village of Ulvik live on the farms surrounding the village or at the end of theOsa Fjordin the village of Osa."
p,"In 2016, the chief of police forVestlandetformally suggested a reconfiguration of police districts and stations. He proposed that the police station in Ulvik be closed.[6]"
h2,General information
p,"TheparishofGraven(later spelled ""Granvin"") was established as a municipality on 1 January 1838 (seeformannskapsdistriktlaw). This large municipality/parish included two annexes: Ulvik andEidfjord. On 1 January 1859, Ulvik became the main parish, making Graven and Eidfjord annexes to Ulvik, and the name of the large municipality was changed from Graven to Ulvik.[7]"
p,"On 1 May 1891, the western annex ofGraven(population: 1,331) and the southeastern annex ofEidfjord(population: 1,018) were separated from Ulvik to become separate municipalities. This left Ulvik with a much smaller size and 1,410 residents. In 1895, a small area of Eidfjord (population: 3) was transferred to Ulvik.[7]"
h3,Name
p,"The municipality (originally theparish) is named after the oldUlvikfarm (Old Norse:Ulfvík) since the firstUlvik Churchwas built there. The first element isulfrwhich means ""wolf"". The last element isvíkwhich means ""bay"", ""cove, or ""wick"".[8][9]"
h3,Coat of arms
p,"Thecoat of armswas granted on 19 December 1986. The officialblazonis""Gules, eightlozengesinannuletOr""(Norwegian:På raud grunn åtte gule spissruter i rosett). This means the arms have a redfield(background) and thechargeis a set of eightlozengesarranged around a point, making a symmetricalrosettedesign. The charge has atinctureofOrwhich means it is commonly colored yellow, but if it is made out of metal, then gold is used. The figure is a traditional design seen in the local folk-art and in localtextiles(including in thebunadof Ulvik). The pattern can be traced in local arts as far back as the 16th century, and is similar to theselburose. The arms were designed by Stein Davidsen. The municipal flag has the same design as the coat of arms.[10][11][12]"
h3,Churches
p,TheChurch of Norwayhas one parish (sokn) within the municipality of Ulvik. It is part of theHardanger og Voss prosti(deanery) in theDiocese of Bjørgvin.
h2,Geography
p,"The municipality is situated around the Hardangerfjord's northeastern arms: theOsa FjordandUlvikafjorden, extending far into theHardangerviddaplateau. The northernmost part of theHardangerjøkulenglacier is in Ulvik. TheFinseandHallingskeidareas lie just south of theHallingskarvet National Parkwhich partially sits inside Ulvik and includes theHallingskarvetmountains. The municipality of Ulvik borders the municipalities ofEidfjord,Ullensvang,Voss,Aurland, andHol. Lakes in the region includeFinsevatnetandFlakavatnet. The headwaters of theFlåmselviriver also lie in Ulvik."
h2,History
p,"After the dissolution of theunion between Sweden and Norwayin 1905, Ulvik was one of the few municipalities that returned a majority in favour of arepublicrather than amonarchyin thenational referendum on the issue."
p,"The village ofUlvikwas nearly totally destroyed on 25 April 1940, during theGerman invasion of Norway, when fighting erupted between a German landing party arriving in boats, and a Norwegian force on land. Most of the village was burned down, and three civilians were killed. An unknown number of German soldiers were also killed in the fighting."
h2,Population
h2,Government
p,"Ulvik Municipality is responsible forprimary education(through 10th grade), outpatienthealth services,senior citizenservices,welfareand othersocial services,zoning,economic development, and municipalroadsand utilities. The municipality is governed by amunicipal councilofdirectly electedrepresentatives. Themayorisindirectly electedby a vote of the municipal council.[15]The municipality is under the jurisdiction of theHordaland District Courtand theGulating Court of Appeal."
h3,Municipal council
p,Themunicipal council(Heradsstyre)of Ulvik is made up of 17 representatives that are elected to four year terms. The tables below show the current and historical composition of the council by politicalparty.
h3,Mayors
p,Themayors(Nynorsk:ordførar) of Ulvik (incomplete list):
h2,Transportation
p,It takes around two hours to drive from the city ofBergento Ulvik via theEuropean route E16highway toVossevangenand then takingNorwegian National Road 13through theVallavik Tunnelto Ulvik. The Norwegian National Road 13 continues through Ulvik before crossing theHardanger Bridgewhich goes over theHardangerfjord. The nearest airport isBergen Flesland Airportin Bergen.
p,"TheBergen Lineruns through the northern part of Ulvik. It runs through a region that has no road access, but is a popular with hiking and sports enthusiasts. Therailway stationatFinseon theBergen Lineat an elevation of 1,222 metres (4,009 ft) is the highest station on theNorwegian railway system. TheFinse Tunneljust outside Finse is one of the longest railway tunnels in Norway. TheRallarvegen""road"" is an historic road that follows the Bergen Line through Ulvik. It is a popular biking and hiking route. Ulvik is also visited in the summer by numerous foreigncruise shipswho travel along the fjord."
h2,Notable people
h2,References
h2,External links
